time,mode,event,details
2026-09-14T23:00:21.368657,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:00:33.127002,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:00:44.906143,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:00:56.751559,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:01:08.787544,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:01:20.721961,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:01:32.712706,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:01:44.504913,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:01:56.544576,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:02:08.509028,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:02:20.494177,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:02:32.549020,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:02:44.633051,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:02:56.613881,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:03:08.573695,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:03:20.503643,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:03:32.544359,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:03:44.592274,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:03:56.728299,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:04:08.709464,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:04:20.797710,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:04:32.718899,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:04:44.557710,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:04:56.462799,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:05:08.376539,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:05:20.720043,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:05:32.664972,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:05:44.600481,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:05:56.395468,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:06:08.397586,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:06:20.303266,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:06:32.111806,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:06:43.983522,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:06:55.969274,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
