trading_day,side,signal_time,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,opening_high,opening_low,daily_close,daily_sma,gross_points,net_points,reason
2026-07-20,bear,2026-07-20 09:15:00,2026-07-20 09:17:00,2026-07-20 09:18:00,43065.0,42965.0,43165.0,42965.0,43499.0,42983.0,42697.0,46169.2,100.0,95.2,target
2026-07-22,bear,2026-07-22 09:31:00,2026-07-22 09:51:00,2026-07-22 09:58:00,45047.0,44947.0,45147.0,44947.0,45353.0,44997.0,44379.0,45718.9,100.0,95.2,target
2026-07-23,bear,2026-07-23 09:31:00,2026-07-23 09:33:00,2026-07-23 09:48:00,44950.0,44850.0,45050.0,44850.0,45358.0,44868.0,44627.0,45578.25,100.0,95.2,target
2026-07-24,bear,2026-07-24 10:23:00,2026-07-24 10:25:00,2026-07-24 10:33:00,44064.0,43964.0,44164.0,43964.0,44398.0,44014.0,44935.0,45505.9,100.0,95.2,target
2026-07-27,bear,2026-07-27 09:17:00,2026-07-27 09:31:00,2026-07-27 09:33:00,43519.0,43619.0,43619.0,43419.0,44086.0,43469.0,43894.0,45373.2,-100.0,-104.8,stop
2026-07-28,bear,2026-07-28 10:04:00,2026-07-28 10:17:00,2026-07-28 10:20:00,42046.0,42146.0,42146.0,41946.0,42640.0,41996.0,43906.0,45347.95,-100.0,-104.8,stop
2026-07-29,bear,2026-07-29 09:16:00,2026-07-29 09:18:00,2026-07-29 09:18:00,41089.0,41189.0,41189.0,40989.0,42072.0,40974.0,41608.0,45150.45,-100.0,-104.8,stop
2026-08-05,bear,2026-08-05 09:17:00,2026-08-05 09:20:00,2026-08-05 09:24:00,44402.0,44302.0,44502.0,44302.0,44700.0,44352.0,43361.0,43973.55,100.0,95.2,target
2026-08-10,bull,2026-08-10 09:21:00,2026-08-10 09:30:00,2026-08-10 09:32:00,44991.0,44891.0,44891.0,45091.0,45041.0,44669.0,44348.0,43781.65,-100.0,-104.8,stop
2026-08-12,bull,2026-08-12 10:49:00,2026-08-12 10:51:00,2026-08-12 11:00:00,45464.0,45505.0,45364.0,45564.0,45514.0,45282.0,45092.0,43732.5,41.0,36.2,11:00_flat
2026-08-21,bull,2026-08-21 09:48:00,2026-08-21 09:54:00,2026-08-21 09:57:00,45012.0,44912.0,44912.0,45112.0,45062.0,44574.0,44875.0,44064.95,-100.0,-104.8,stop
2026-08-27,bull,2026-08-27 09:55:00,2026-08-27 09:57:00,2026-08-27 10:04:00,46368.0,46468.0,46268.0,46468.0,46418.0,46077.0,46011.0,44621.7,100.0,95.2,target
