received_at,event_key,account,strategy_code,source,action,previous_position,new_position,state_reconciled,raw_message
2026-08-26 08:46:08,8855908410:369036,6008770,CFCCPm,群益Telegram,多單平倉,1,0,False,"【08.26 08:46:07】
【訊號通知】【群益】
【6008770】
《策略》CFCCPm《倉位》1.0 -> 0.0"
2026-08-26 08:46:11,8855908410:369038,6008770,CFC07m,群益Telegram,多單平倉,1,0,False,"【08.26 08:45:49】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》1.0 -> 0.0"
2026-08-26 08:53:53,8855908410:369040,6008770,CFCTX17m,群益Telegram,多單平倉,1,0,False,"【08.26 08:53:52】
【訊號通知】【群益】
【6008770】
《策略》CFCTX17m《倉位》1.0 -> 0.0"
2026-08-26 08:53:55,8855908410:369043,6008770,CFCTX18m,群益Telegram,多單平倉,1,0,False,"【08.26 08:53:53】
【訊號通知】【群益】
【6008770】
《策略》CFCTX18m《倉位》1.0 -> 0.0"
2026-08-26 09:00:03,8855908410:369047,6008770,CFCWIN01m,群益Telegram,多單平倉,1,0,False,"【08.26 09:00:02】
【訊號通知】【群益】
【6008770】
《策略》CFCWN01m《倉位》1.0 -> 0.0"
2026-08-26 09:00:06,8855908410:369048,6008770,CFCTX22m,群益Telegram,多單平倉,1,0,False,"【08.26 09:00:01】
【訊號通知】【群益】
【6008770】
《策略》CFCTX22m《倉位》1.0 -> 0.0"
2026-08-26 10:30:23,8855908410:369236,6008770,CFCWIN01m,群益Telegram,多單進場,0,1,False,"【08.26 10:30:01】
【訊號通知】【群益】
【6008770】
《策略》CFCWN01m《倉位》0.0 -> 1.0"
2026-08-26 10:45:03,8855908410:369326,6008770,CFCPW3m,群益Telegram,多單進場,0,1,False,"【08.26 10:45:02】
【訊號通知】【群益】
【6008770】
《策略》CFCPW3m《倉位》0.0 -> 1.0"
2026-08-26 11:15:22,8855908410:369348,6008770,CFCTX23m,群益Telegram,空單進場,0,-1,False,"【08.26 11:15:21】
【訊號通知】【群益】
【6008770】
《策略》CFCTX23m《倉位》0.0 -> -1.0"
2026-08-26 11:37:33,8855908410:369361,6008770,CFC07m,群益Telegram,多單進場,0,1,False,"【08.26 11:37:31】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》0.0 -> 1.0"
2026-08-26 11:40:11,8855908410:369363,6008770,CFCTX16m,群益Telegram,多單進場,0,1,False,"【08.26 11:40:10】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》0.0 -> 1.0"
2026-08-26 20:00:47,8855908410:369665,6008770,CFCTX22m,群益Telegram,多單進場,0,1,False,"【08.26 20:00:45】
【訊號通知】【群益】
【6008770】
《策略》CFCTX22m《倉位》0.0 -> 1.0"
2026-08-26 20:30:22,8855908410:369679,6008770,CFCTX18m,群益Telegram,空單進場,0,-1,False,"【08.26 20:30:20】
【訊號通知】【群益】
【6008770】
《策略》CFCTX18m《倉位》0.0 -> -1.0"
2026-08-26 20:52:46,8855908410:369680,6008770,CFCTX16m,群益Telegram,多單平倉,1,0,False,"【08.26 20:52:44】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》1.0 -> 0.0"
2026-08-26 22:22:35,8855908410:369688,6008770,CFC07m,群益Telegram,多單平倉,1,0,False,"【08.26 22:22:13】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》1.0 -> 0.0"
2026-08-26 22:26:30,8855908410:369690,6008770,CFCWIN01m,群益Telegram,多單平倉,1,0,False,"【08.26 22:26:29】
【訊號通知】【群益】
【6008770】
《策略》CFCWN01m《倉位》1.0 -> 0.0"
2026-08-26 22:37:11,8855908410:369692,6008770,CFCTX16m,群益Telegram,空單進場,0,-1,False,"【08.26 22:37:10】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》0.0 -> -1.0"
2026-08-26 23:02:05,8855908410:369695,6008770,CFC07m,群益Telegram,空單進場,0,-1,False,"【08.26 23:01:56】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》0.0 -> -1.0"
2026-08-27 01:34:49,8855908410:369701,6008770,CFCTX18m,群益Telegram,空單平倉,-1,0,False,"【08.27 01:34:47】
【訊號通知】【群益】
【6008770】
《策略》CFCTX18m《倉位》-1.0 -> 0.0"
2026-08-27 04:00:02,8855908410:369703,6008770,CFCTX16m,群益Telegram,空單平倉,-1,0,False,"【08.27 04:00:01】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》-1.0 -> 0.0"
2026-08-27 04:21:46,8855908410:369706,6008770,CFCTX21m,群益Telegram,多單進場,0,1,False,"【08.27 04:21:45】
【訊號通知】【群益】
【6008770】
《策略》CFCTX21m《倉位》0.0 -> 1.0"
2026-08-27 08:45:04,8855908410:369743,6008770,CFC07m,群益Telegram,空單平倉,-1,0,False,"【08.27 08:45:03】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》-1.0 -> 0.0"
2026-08-27 09:06:49,8855908410:369758,6008770,CFCTX23m,群益Telegram,空單平倉,-1,0,False,"【08.27 09:06:27】
【訊號通知】【群益】
【6008770】
《策略》CFCTX23m《倉位》-1.0 -> 0.0"
2026-08-27 09:14:25,8855908410:369761,6008770,CFCTX22m,群益Telegram,多單平倉,1,0,False,"【08.27 09:13:10】
【訊號通知】【群益】
【6008770】
《策略》CFCTX22m《倉位》1.0 -> 0.0"
2026-08-27 09:37:34,8855908410:369775,6008770,CFC07m,群益Telegram,多單進場,0,1,False,"【08.27 09:37:32】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》0.0 -> 1.0"
2026-08-27 09:40:39,8855908410:369777,6008770,CFCTX16m,群益Telegram,多單進場,0,1,False,"【08.27 09:40:38】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》0.0 -> 1.0"
2026-08-27 11:22:35,8855908410:369965,6008770,CFCWIN01m,群益Telegram,多單進場,0,1,False,"【08.27 11:22:34】
【訊號通知】【群益】
【6008770】
《策略》CFCWN01m《倉位》0.0 -> 1.0"
2026-08-27 12:40:02,8855908410:370008,6008770,CFCCPm,群益Telegram,空單進場,0,-1,False,"【08.27 12:40:00】
【訊號通知】【群益】
【6008770】
《策略》CFCCPm《倉位》0.0 -> -1.0"
2026-08-27 13:15:02,8855908410:370022,6008770,CFCTX18m,群益Telegram,空單進場,0,-1,False,"【08.27 13:15:01】
【訊號通知】【群益】
【6008770】
《策略》CFCTX18m《倉位》0.0 -> -1.0"
2026-08-27 13:19:56,8855908410:370025,6008770,CFCPW3m,群益Telegram,多單平倉,1,0,False,"【08.27 13:19:54】
【訊號通知】【群益】
【6008770】
《策略》CFCPW3m《倉位》1.0 -> 0.0"
2026-08-27 16:00:23,8855908410:370186,6008770,CFCWIN01m,群益Telegram,多單平倉並轉空,1,-1,False,"【08.27 16:00:01】
【訊號通知】【群益】
【6008770】
《策略》CFCWN01m《倉位》1.0 -> -1.0"
2026-08-27 21:30:24,8855908410:370520,6008770,CFCTX17m,群益Telegram,多單進場,0,1,False,"【08.27 21:30:23】
【訊號通知】【群益】
【6008770】
《策略》CFCTX17m《倉位》0.0 -> 1.0"
2026-08-27 23:18:23,8855908410:370530,6008770,CFC07m,群益Telegram,部位不變,0,1,True,"【08.27 23:18:21】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》0.0 -> 1.0"
