trade_no,date,single_pnl,single_points,base_mdd_pnl,base_mdd_points,loss_streak_before,win_streak_before,post_mdd_zero_index,plan1_quantity,plan1_cum_pnl,plan1_mdd_pnl,plan2_quantity,plan2_cum_pnl,plan2_mdd_pnl,plan3_quantity,plan3_cum_pnl,plan3_mdd_pnl
48,2025-06-11,-4350.0,-435.0,-4350.0,-435.0,0,1,1,1,186250.0,-4350.0,1,139050.0,-4350.0,1,139050.0,-4350.0
49,2025-06-11,-8050.0,-805.0,-12400.0,-1240.0,1,0,2,1,178200.0,-12400.0,1,131000.0,-12400.0,1,131000.0,-12400.0
50,2025-06-17,-1850.0,-185.0,-14250.0,-1425.0,2,0,3,1,176350.0,-14250.0,1,129150.0,-14250.0,1,129150.0,-14250.0
51,2025-06-17,-5950.0,-595.0,-20200.0,-2020.0,3,0,0,1,170400.0,-20200.0,1,123200.0,-20200.0,1,123200.0,-20200.0
52,2025-06-18,-3800.0,-380.0,-24000.0,-2400.0,4,0,0,1,166600.0,-24000.0,1,119400.0,-24000.0,1,119400.0,-24000.0
53,2025-06-18,-11900.0,-1190.0,-35900.0,-3590.0,5,0,0,1,154700.0,-35900.0,1,107500.0,-35900.0,1,107500.0,-35900.0
54,2025-06-18,7050.0,705.0,-28850.0,-2885.0,6,0,0,2,168800.0,-21800.0,1,114550.0,-28850.0,1,114550.0,-28850.0
55,2025-06-20,-4150.0,-415.0,-33000.0,-3300.0,0,1,0,2,160500.0,-30100.0,1,110400.0,-33000.0,1,110400.0,-33000.0
56,2025-06-20,10700.0,1070.0,-22300.0,-2230.0,1,0,0,2,181900.0,-8700.0,1,121100.0,-22300.0,1,121100.0,-22300.0
57,2025-06-23,1500.0,150.0,-20800.0,-2080.0,0,1,0,2,184900.0,-5700.0,1,122600.0,-20800.0,1,122600.0,-20800.0
58,2025-06-23,-7300.0,-730.0,-28100.0,-2810.0,0,2,0,2,170300.0,-20300.0,1,115300.0,-28100.0,1,115300.0,-28100.0
59,2025-06-24,22450.0,2245.0,-5650.0,-565.0,1,0,0,2,215200.0,0.0,1,137750.0,-5650.0,1,137750.0,-5650.0
60,2025-06-25,-1000.0,-100.0,-6650.0,-665.0,0,1,0,2,213200.0,-2000.0,1,136750.0,-6650.0,1,136750.0,-6650.0
61,2025-06-25,1650.0,165.0,-5000.0,-500.0,1,0,0,2,216500.0,0.0,1,138400.0,-5000.0,1,138400.0,-5000.0
62,2025-06-26,1950.0,195.0,-3050.0,-305.0,0,1,0,2,220400.0,0.0,1,140350.0,-3050.0,1,140350.0,-3050.0
63,2025-06-26,3800.0,380.0,0.0,0.0,0,2,0,2,228000.0,0.0,1,144150.0,0.0,1,144150.0,0.0
64,2025-06-27,2800.0,280.0,0.0,0.0,0,3,1,1,230800.0,0.0,1,146950.0,0.0,1,146950.0,0.0
65,2025-06-27,-2000.0,-200.0,-2000.0,-200.0,0,4,2,1,228800.0,-2000.0,1,144950.0,-2000.0,1,144950.0,-2000.0
66,2025-06-30,-4200.0,-420.0,-6200.0,-620.0,1,0,3,1,224600.0,-6200.0,1,140750.0,-6200.0,1,140750.0,-6200.0
67,2025-06-30,8950.0,895.0,0.0,0.0,2,0,0,1,233550.0,0.0,1,149700.0,0.0,1,149700.0,0.0
68,2025-07-01,-2750.0,-275.0,-2750.0,-275.0,0,1,1,1,230800.0,-2750.0,1,146950.0,-2750.0,1,146950.0,-2750.0
69,2025-07-01,-5850.0,-585.0,-8600.0,-860.0,1,0,2,1,224950.0,-8600.0,1,141100.0,-8600.0,1,141100.0,-8600.0
70,2025-07-01,-4250.0,-425.0,-12850.0,-1285.0,2,0,3,1,220700.0,-12850.0,1,136850.0,-12850.0,1,136850.0,-12850.0
71,2025-07-02,14800.0,1480.0,0.0,0.0,3,0,0,1,235500.0,0.0,1,151650.0,0.0,1,151650.0,0.0
72,2025-07-04,12100.0,1210.0,0.0,0.0,0,1,1,1,247600.0,0.0,1,163750.0,0.0,1,163750.0,0.0
73,2025-07-04,-3500.0,-350.0,-3500.0,-350.0,0,2,2,1,244100.0,-3500.0,1,160250.0,-3500.0,1,160250.0,-3500.0
74,2025-07-05,-6350.0,-635.0,-9850.0,-985.0,1,0,3,1,237750.0,-9850.0,1,153900.0,-9850.0,1,153900.0,-9850.0
75,2025-07-07,-6250.0,-625.0,-16100.0,-1610.0,2,0,0,1,231500.0,-16100.0,1,147650.0,-16100.0,1,147650.0,-16100.0
76,2025-07-07,-1750.0,-175.0,-17850.0,-1785.0,3,0,0,1,229750.0,-17850.0,1,145900.0,-17850.0,1,145900.0,-17850.0
77,2025-07-07,-5300.0,-530.0,-23150.0,-2315.0,4,0,0,1,224450.0,-23150.0,1,140600.0,-23150.0,1,140600.0,-23150.0
78,2025-07-08,-200.0,-20.0,-23350.0,-2335.0,5,0,0,1,224250.0,-23350.0,1,140400.0,-23350.0,1,140400.0,-23350.0
79,2025-07-08,-3150.0,-315.0,-26500.0,-2650.0,6,0,0,1,221100.0,-26500.0,1,137250.0,-26500.0,1,137250.0,-26500.0
80,2025-07-08,-4800.0,-480.0,-31300.0,-3130.0,7,0,0,1,216300.0,-31300.0,1,132450.0,-31300.0,1,132450.0,-31300.0
81,2025-07-08,-4800.0,-480.0,-36100.0,-3610.0,8,0,0,2,206700.0,-40900.0,1,127650.0,-36100.0,1,127650.0,-36100.0
82,2025-07-08,-3850.0,-385.0,-39950.0,-3995.0,9,0,0,2,199000.0,-48600.0,1,123800.0,-39950.0,1,123800.0,-39950.0
83,2025-07-09,12850.0,1285.0,-27100.0,-2710.0,10,0,0,2,224700.0,-22900.0,1,136650.0,-27100.0,1,136650.0,-27100.0
84,2025-07-10,-3350.0,-335.0,-30450.0,-3045.0,0,1,0,2,218000.0,-29600.0,1,133300.0,-30450.0,1,133300.0,-30450.0
85,2025-07-10,-2350.0,-235.0,-32800.0,-3280.0,1,0,0,2,213300.0,-34300.0,1,130950.0,-32800.0,1,130950.0,-32800.0
86,2025-07-14,-3650.0,-365.0,-36450.0,-3645.0,2,0,0,2,206000.0,-41600.0,1,127300.0,-36450.0,1,127300.0,-36450.0
87,2025-07-14,-4400.0,-440.0,-40850.0,-4085.0,3,0,0,2,197200.0,-50400.0,1,122900.0,-40850.0,1,122900.0,-40850.0
88,2025-07-14,-250.0,-25.0,-41100.0,-4110.0,4,0,0,2,196700.0,-50900.0,1,122650.0,-41100.0,2,122400.0,-41350.0
89,2025-07-14,36500.0,3650.0,-4600.0,-460.0,5,0,0,2,269700.0,0.0,1,159150.0,-4600.0,2,195400.0,0.0
90,2025-07-18,-1500.0,-150.0,-6100.0,-610.0,0,1,0,2,266700.0,-3000.0,1,157650.0,-6100.0,2,192400.0,-3000.0
91,2025-07-18,-5450.0,-545.0,-11550.0,-1155.0,1,0,0,2,255800.0,-13900.0,1,152200.0,-11550.0,2,181500.0,-13900.0
92,2025-07-22,5300.0,530.0,-6250.0,-625.0,2,0,0,2,266400.0,-3300.0,1,157500.0,-6250.0,2,192100.0,-3300.0
93,2025-07-23,11000.0,1100.0,0.0,0.0,0,1,0,2,288400.0,0.0,1,168500.0,0.0,2,214100.0,0.0
94,2025-07-24,-950.0,-95.0,-950.0,-95.0,0,2,1,1,287450.0,-950.0,1,167550.0,-950.0,1,213150.0,-950.0
95,2025-07-24,-6200.0,-620.0,-7150.0,-715.0,1,0,2,1,281250.0,-7150.0,1,161350.0,-7150.0,1,206950.0,-7150.0
96,2025-07-24,-5700.0,-570.0,-12850.0,-1285.0,2,0,3,1,275550.0,-12850.0,1,155650.0,-12850.0,1,201250.0,-12850.0
97,2025-07-25,-2350.0,-235.0,-15200.0,-1520.0,3,0,0,1,273200.0,-15200.0,1,153300.0,-15200.0,1,198900.0,-15200.0
98,2025-07-28,-4050.0,-405.0,-19250.0,-1925.0,4,0,0,1,269150.0,-19250.0,1,149250.0,-19250.0,1,194850.0,-19250.0
99,2025-07-29,-4450.0,-445.0,-23700.0,-2370.0,5,0,0,1,264700.0,-23700.0,1,144800.0,-23700.0,1,190400.0,-23700.0
100,2025-07-29,400.0,40.0,-23300.0,-2330.0,6,0,0,1,265100.0,-23300.0,1,145200.0,-23300.0,1,190800.0,-23300.0
101,2025-07-29,-4000.0,-400.0,-27300.0,-2730.0,0,1,0,1,261100.0,-27300.0,1,141200.0,-27300.0,1,186800.0,-27300.0
102,2025-07-29,-6850.0,-685.0,-34150.0,-3415.0,1,0,0,1,254250.0,-34150.0,1,134350.0,-34150.0,1,179950.0,-34150.0
103,2025-07-30,-4250.0,-425.0,-38400.0,-3840.0,2,0,0,2,245750.0,-42650.0,1,130100.0,-38400.0,1,175700.0,-38400.0
104,2025-07-30,-6650.0,-665.0,-45050.0,-4505.0,3,0,0,2,232450.0,-55950.0,1,123450.0,-45050.0,1,169050.0,-45050.0
105,2025-07-30,3650.0,365.0,-41400.0,-4140.0,4,0,0,2,239750.0,-48650.0,1,127100.0,-41400.0,2,176350.0,-37750.0
106,2025-07-31,-2050.0,-205.0,-43450.0,-4345.0,0,1,0,2,235650.0,-52750.0,1,125050.0,-43450.0,2,172250.0,-41850.0
107,2025-07-31,-300.0,-30.0,-43750.0,-4375.0,1,0,0,2,235050.0,-53350.0,1,124750.0,-43750.0,2,171650.0,-42450.0
108,2025-07-31,15000.0,1500.0,-28750.0,-2875.0,2,0,0,2,265050.0,-23350.0,1,139750.0,-28750.0,2,201650.0,-12450.0
109,2025-08-01,-1700.0,-170.0,-30450.0,-3045.0,0,1,0,2,261650.0,-26750.0,1,138050.0,-30450.0,2,198250.0,-15850.0
110,2025-08-01,-700.0,-70.0,-31150.0,-3115.0,1,0,0,2,260250.0,-28150.0,1,137350.0,-31150.0,2,196850.0,-17250.0
111,2025-08-04,7400.0,740.0,-23750.0,-2375.0,2,0,0,2,275050.0,-13350.0,1,144750.0,-23750.0,2,211650.0,-2450.0
112,2025-08-04,-3050.0,-305.0,-26800.0,-2680.0,0,1,0,2,268950.0,-19450.0,1,141700.0,-26800.0,2,205550.0,-8550.0
113,2025-08-04,3500.0,350.0,-23300.0,-2330.0,1,0,0,2,275950.0,-12450.0,1,145200.0,-23300.0,2,212550.0,-1550.0
114,2025-08-05,-1150.0,-115.0,-24450.0,-2445.0,0,1,0,2,273650.0,-14750.0,1,144050.0,-24450.0,2,210250.0,-3850.0
115,2025-08-06,-4200.0,-420.0,-28650.0,-2865.0,1,0,0,2,265250.0,-23150.0,1,139850.0,-28650.0,2,201850.0,-12250.0
116,2025-08-06,-150.0,-15.0,-28800.0,-2880.0,2,0,0,2,264950.0,-23450.0,1,139700.0,-28800.0,2,201550.0,-12550.0
117,2025-08-06,-3700.0,-370.0,-32500.0,-3250.0,3,0,0,2,257550.0,-30850.0,1,136000.0,-32500.0,2,194150.0,-19950.0
118,2025-08-06,-4250.0,-425.0,-36750.0,-3675.0,4,0,0,2,249050.0,-39350.0,1,131750.0,-36750.0,2,185650.0,-28450.0
119,2025-08-06,40600.0,4060.0,0.0,0.0,5,0,0,2,330250.0,0.0,1,172350.0,0.0,2,266850.0,0.0
120,2025-08-13,-5150.0,-515.0,-5150.0,-515.0,0,1,1,1,325100.0,-5150.0,1,167200.0,-5150.0,1,261700.0,-5150.0
121,2025-08-13,-2700.0,-270.0,-7850.0,-785.0,1,0,2,1,322400.0,-7850.0,1,164500.0,-7850.0,1,259000.0,-7850.0
122,2025-08-14,-2400.0,-240.0,-10250.0,-1025.0,2,0,3,1,320000.0,-10250.0,1,162100.0,-10250.0,1,256600.0,-10250.0
123,2025-08-14,-600.0,-60.0,-10850.0,-1085.0,3,0,0,1,319400.0,-10850.0,1,161500.0,-10850.0,1,256000.0,-10850.0
124,2025-08-15,-2550.0,-255.0,-13400.0,-1340.0,4,0,0,1,316850.0,-13400.0,1,158950.0,-13400.0,1,253450.0,-13400.0
125,2025-08-15,-6650.0,-665.0,-20050.0,-2005.0,5,0,0,1,310200.0,-20050.0,1,152300.0,-20050.0,1,246800.0,-20050.0
126,2025-08-15,-2450.0,-245.0,-22500.0,-2250.0,6,0,0,1,307750.0,-22500.0,1,149850.0,-22500.0,1,244350.0,-22500.0
127,2025-08-18,1050.0,105.0,-21450.0,-2145.0,7,0,0,1,308800.0,-21450.0,1,150900.0,-21450.0,1,245400.0,-21450.0
128,2025-08-20,19600.0,1960.0,-1850.0,-185.0,0,1,0,1,328400.0,-1850.0,1,170500.0,-1850.0,1,265000.0,-1850.0
129,2025-08-21,-2000.0,-200.0,-3850.0,-385.0,0,2,0,1,326400.0,-3850.0,1,168500.0,-3850.0,1,263000.0,-3850.0
130,2025-08-21,-3400.0,-340.0,-7250.0,-725.0,1,0,0,1,323000.0,-7250.0,1,165100.0,-7250.0,1,259600.0,-7250.0
131,2025-08-21,-2050.0,-205.0,-9300.0,-930.0,2,0,0,1,320950.0,-9300.0,1,163050.0,-9300.0,1,257550.0,-9300.0
132,2025-08-21,-5400.0,-540.0,-14700.0,-1470.0,3,0,0,1,315550.0,-14700.0,1,157650.0,-14700.0,1,252150.0,-14700.0
133,2025-08-22,15000.0,1500.0,0.0,0.0,4,0,0,1,330550.0,0.0,1,172650.0,0.0,1,267150.0,0.0
134,2025-08-28,-3000.0,-300.0,-3000.0,-300.0,0,1,1,1,327550.0,-3000.0,1,169650.0,-3000.0,1,264150.0,-3000.0
135,2025-08-28,1550.0,155.0,-1450.0,-145.0,1,0,2,1,329100.0,-1450.0,1,171200.0,-1450.0,1,265700.0,-1450.0
136,2025-08-29,7200.0,720.0,0.0,0.0,0,1,3,1,336300.0,0.0,1,178400.0,0.0,1,272900.0,0.0
137,2025-09-01,-5850.0,-585.0,-5850.0,-585.0,0,2,1,1,330450.0,-5850.0,1,172550.0,-5850.0,1,267050.0,-5850.0
138,2025-09-01,-5400.0,-540.0,-11250.0,-1125.0,1,0,2,1,325050.0,-11250.0,1,167150.0,-11250.0,1,261650.0,-11250.0
139,2025-09-02,-4700.0,-470.0,-15950.0,-1595.0,2,0,3,1,320350.0,-15950.0,1,162450.0,-15950.0,1,256950.0,-15950.0
140,2025-09-02,9000.0,900.0,-6950.0,-695.0,3,0,0,1,329350.0,-6950.0,1,171450.0,-6950.0,1,265950.0,-6950.0
141,2025-09-03,2800.0,280.0,-4150.0,-415.0,0,1,0,1,332150.0,-4150.0,1,174250.0,-4150.0,1,268750.0,-4150.0
142,2025-09-03,-3000.0,-300.0,-7150.0,-715.0,0,2,0,1,329150.0,-7150.0,1,171250.0,-7150.0,1,265750.0,-7150.0
143,2025-09-03,-2850.0,-285.0,-10000.0,-1000.0,1,0,0,1,326300.0,-10000.0,1,168400.0,-10000.0,1,262900.0,-10000.0
144,2025-09-03,-5050.0,-505.0,-15050.0,-1505.0,2,0,0,1,321250.0,-15050.0,1,163350.0,-15050.0,1,257850.0,-15050.0
145,2025-09-03,-2350.0,-235.0,-17400.0,-1740.0,3,0,0,1,318900.0,-17400.0,1,161000.0,-17400.0,1,255500.0,-17400.0
146,2025-09-04,-13550.0,-1355.0,-30950.0,-3095.0,4,0,0,1,305350.0,-30950.0,1,147450.0,-30950.0,1,241950.0,-30950.0
147,2025-09-04,-4900.0,-490.0,-35850.0,-3585.0,5,0,0,2,295550.0,-40750.0,1,142550.0,-35850.0,1,237050.0,-35850.0
148,2025-09-04,-3950.0,-395.0,-39800.0,-3980.0,6,0,0,2,287650.0,-48650.0,1,138600.0,-39800.0,1,233100.0,-39800.0
149,2025-09-04,-5450.0,-545.0,-45250.0,-4525.0,7,0,0,2,276750.0,-59550.0,1,133150.0,-45250.0,1,227650.0,-45250.0
150,2025-09-04,150.0,15.0,-45100.0,-4510.0,8,0,0,2,277050.0,-59250.0,1,133300.0,-45100.0,2,227950.0,-44950.0
151,2025-09-04,9300.0,930.0,-35800.0,-3580.0,0,1,0,2,295650.0,-40650.0,1,142600.0,-35800.0,2,246550.0,-26350.0
152,2025-09-05,-1350.0,-135.0,-37150.0,-3715.0,0,2,0,2,292950.0,-43350.0,1,141250.0,-37150.0,2,243850.0,-29050.0
153,2025-09-05,-5000.0,-500.0,-42150.0,-4215.0,1,0,0,2,282950.0,-53350.0,1,136250.0,-42150.0,2,233850.0,-39050.0
