timestamp,strategy,result,signal_action,order_action,side,quantity,contract_code,h_position_timestamp,h_side,h_entry_price,h_unrealized_points,signal_reason,broker_status,broker_order_id,broker_message,broker_trade,error
2026-06-10 19:19:03,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-959.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:20:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-961.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:21:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-941.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:22:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-899.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:23:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-816.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:24:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-823.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:25:06,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-888.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:26:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1005.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:27:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-984.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:28:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1012.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:29:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1017.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:30:09,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-996.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:31:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1001.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:32:04,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1019.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:33:06,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1030.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:34:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1003.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:35:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-990.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:36:06,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1007.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:37:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-999.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
2026-06-10 19:38:05,h_next_month_loss_guard,skipped_no_position,exit,,bull,1,TMFR1,2026-06-10 15:01:24,bull,43606.0,-1023.0,H 主單已出場/反向/換倉，遠月一口同步出場,,,,,
