Record Time,Symbol,Timeframe,TradingView Time,Open,High,Low,Close,MA_960,MA_P80,MA_P200,MA_N110,MA_N200,tt_short,tt_long,BBR
2026-04-30 20:00:09,MXF1!,15,2026-04-30 19:45:00,39799,39830,39793,39801,39524.140625,39604.140625,39724.140625,39414.140625,39324.140625,39593.5087623549,39545.1311121826,0.8517582652
2026-04-30 20:15:00,MXF1!,15,2026-04-30 20:00:00,39801,39866,39788,39856,39529.5375,39609.5375,39729.5375,39419.5375,39329.5375,39603.8025363801,39551.2869317433,0.8638177164
2026-04-30 20:30:05,MXF1!,15,2026-04-30 20:15:00,39854,39895,39852,39880,39536.1052083333,39616.1052083333,39736.1052083333,39426.1052083333,39336.1052083333,39614.6338094633,39557.7961014118,0.8687853667
2026-04-30 20:45:02,MXF1!,15,2026-04-30 20:30:00,39880,39889,39812,39824,39542.4760416667,39622.4760416667,39742.4760416667,39432.4760416667,39342.4760416667,39622.8442483079,39563.0674657402,0.8554623899
2026-04-30 21:00:03,MXF1!,15,2026-04-30 20:45:00,39823,39903,39819,39889,39550.2552083333,39630.2552083333,39750.2552083333,39440.2552083333,39350.2552083333,39633.2817287664,39569.5215753295,0.8698482875
2026-04-30 21:15:03,MXF1!,15,2026-04-30 21:00:00,39889,39910,39846,39854,39558.2510416667,39638.2510416667,39758.2510416667,39448.2510416667,39358.2510416667,39641.9373472461,39575.1548114616,0.8613020668
2026-04-30 21:30:03,MXF1!,15,2026-04-30 21:15:00,39854,39872,39821,39833,39566.1083333333,39646.1083333333,39766.1083333333,39456.1083333333,39366.1083333333,39649.4300002953,39580.2606567792,0.8559282729
2026-04-30 21:45:03,MXF1!,15,2026-04-30 21:30:00,39833,39833,39630,39716,39572.5958333333,39652.5958333333,39772.5958333333,39462.5958333333,39372.5958333333,39652.040588519,39582.9485645658,0.8285073635
2026-04-30 22:00:18,MXF1!,15,2026-04-30 21:45:00,39714,39720,39535,39581,39577.2947916667,39657.2947916667,39777.2947916667,39467.2947916667,39377.2947916667,39649.2546830869,39582.9099791288,0.796986303
2026-04-30 22:15:10,MXF1!,15,2026-04-30 22:00:00,39580,39666,39508,39600,39581.259375,39661.259375,39781.259375,39471.259375,39381.259375,39647.3231268874,39583.2483953837,0.8009677629
2026-04-30 22:30:14,MXF1!,15,2026-04-30 22:15:00,39599,39644,39497,39603,39584.5302083333,39664.5302083333,39784.5302083333,39474.5302083333,39384.5302083333,39645.5849650487,39583.6395162672,0.8012112328
2026-04-30 22:45:03,MXF1!,15,2026-04-30 22:30:00,39602,39676,39550,39623,39588.16875,39668.16875,39788.16875,39478.16875,39388.16875,39644.6992801448,39584.4189317867,0.805397722
2026-04-30 23:00:03,MXF1!,15,2026-04-30 22:45:00,39621,39794,39618,39778,39592.71875,39672.71875,39792.71875,39482.71875,39392.71875,39649.9267593548,39588.2522202661,0.8407417359
2026-04-30 23:15:00,MXF1!,15,2026-04-30 23:00:00,39780,39880,39775,39860,39600.1322916667,39680.1322916667,39800.1322916667,39490.1322916667,39400.1322916667,39658.1649256546,39593.6333644193,0.8591397694
2026-04-30 23:30:05,MXF1!,15,2026-04-30 23:15:00,39861,39886,39817,39848,39608.0979166667,39688.0979166667,39808.0979166667,39498.0979166667,39408.0979166667,39665.6094383741,39598.6703275001,0.8557570305
2026-04-30 23:45:03,MXF1!,15,2026-04-30 23:30:00,39849,39905,39809,39840,39616.515625,39696.515625,39816.515625,39506.515625,39416.515625,39672.448283928,39603.4491328961,0.8532940458
2026-05-01 00:00:06,MXF1!,15,2026-04-30 23:45:00,39841,39865,39782,39836,39624.1385416667,39704.1385416667,39824.1385416667,39514.1385416667,39424.1385416667,39678.8620767152,39608.0541005615,0.8517700239
2026-05-01 00:14:57,MXF1!,15,2026-05-01 00:00:00,39838,39880,39795,39874,39630.8885416667,39710.8885416667,39830.8885416667,39520.8885416667,39430.8885416667,39686.514544295,39613.320355996,0.8599717952
2026-05-01 00:30:06,MXF1!,15,2026-05-01 00:15:00,39874,39880,39840,39864,39636.8729166667,39716.8729166667,39836.8729166667,39526.8729166667,39436.8729166667,39693.4747582442,39618.2843093426,0.8570340911
2026-05-01 00:45:08,MXF1!,15,2026-05-01 00:30:00,39868,39873,39839,39843,39643.8666666667,39723.8666666667,39843.8666666667,39533.8666666667,39443.8666666667,39699.338493215,39622.7341249992,0.8515362962
2026-05-01 01:00:12,MXF1!,15,2026-05-01 00:45:00,39840,39841,39778,39804,39650.1197916667,39730.1197916667,39850.1197916667,39540.1197916667,39450.1197916667,39703.4428660301,39626.3235482665,0.8418779968
2026-05-01 01:15:01,MXF1!,15,2026-05-01 01:00:00,39808,39864,39805,39854,39657.2958333333,39737.2958333333,39857.2958333333,39547.2958333333,39457.2958333333,39709.3470673622,39630.8319928553,0.8529171761
2026-05-01 01:30:06,MXF1!,15,2026-05-01 01:15:00,39852,39862,39805,39862,39665.7041666667,39745.7041666667,39865.7041666667,39555.7041666667,39465.7041666667,39715.3334568775,39635.4095771552,0.8541799193
2026-05-01 01:45:12,MXF1!,15,2026-05-01 01:30:00,39861,39965,39859,39952,39674.5729166667,39754.5729166667,39874.5729166667,39564.5729166667,39474.5729166667,39724.6144977842,39641.6786944393,0.8745341018
2026-05-01 02:00:03,MXF1!,15,2026-05-01 01:45:00,39951,39985,39927,39977,39683.853125,39763.853125,39883.853125,39573.853125,39483.853125,39734.5119684593,39648.3187202919,0.8797129909
2026-05-01 02:15:06,MXF1!,15,2026-05-01 02:00:00,39980,40048,39979,40034,39687.7,39767.7,39887.7,39577.7,39487.7,39746.2565971472,39655.9559733555,0.8923315282
2026-05-01 02:30:08,MXF1!,15,2026-05-01 02:15:00,40034,40064,40022,40036,39692.6,39772.6,39892.6,39582.6,39492.6,39757.6190835336,39663.4815976455,0.8919596705
